,fname,method,url,path_url,request_headers,request_body_trimmed,ok,status_code,reason,response_headers,response_text,elapsed_time,apparent_encoding,encoding
0,C:\githealth\dicom-samples\visus.com\case1\case1_008.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=7ad7554d77d7db88878ae073827e56ec', 'Content-Length': '527920'}","b'--7ad7554d77d7db88878ae073827e56ec\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:13 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.467""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.294819000,ascii,utf-8
1,C:\githealth\dicom-samples\visus.com\case1\case1_010.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=373ad73bd5cd7428089ba4a5b7c8a395', 'Content-Length': '527920'}","b'--373ad73bd5cd7428089ba4a5b7c8a395\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:12 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.469""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.473071000,ascii,utf-8
2,C:\githealth\dicom-samples\visus.com\case1\case1_012.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b59e563c93358f67b7c3a33d517c218c', 'Content-Length': '527920'}","b'--b59e563c93358f67b7c3a33d517c218c\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:13 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.471""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.171133000,ascii,utf-8
3,C:\githealth\dicom-samples\visus.com\case1\case1_014.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=c9196b9b3e8b4faca6f6a134d99d57a6', 'Content-Length': '527920'}","b'--c9196b9b3e8b4faca6f6a134d99d57a6\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:13 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.473""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.184398000,ascii,utf-8
4,C:\githealth\dicom-samples\visus.com\case1\case1_016.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=f781535bee2e7aee3b666591b6bacd99', 'Content-Length': '527920'}","b'--f781535bee2e7aee3b666591b6bacd99\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:13 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.475""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.166075000,ascii,utf-8
5,C:\githealth\dicom-samples\visus.com\case1\case1_018.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=7e11bdf57f0c0b7aefa8bfb3032d269d', 'Content-Length': '527920'}","b'--7e11bdf57f0c0b7aefa8bfb3032d269d\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:14 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.477""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.170057000,ascii,utf-8
6,C:\githealth\dicom-samples\visus.com\case1\case1_020.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=e7445e7d896b22ee25a27912e6e384e2', 'Content-Length': '527920'}","b'--e7445e7d896b22ee25a27912e6e384e2\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:14 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.479""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.170096000,ascii,utf-8
7,C:\githealth\dicom-samples\visus.com\case1\case1_022.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=dcb03d7f8e17e9bea4e01f1d86468669', 'Content-Length': '527920'}","b'--dcb03d7f8e17e9bea4e01f1d86468669\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:14 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.481""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.190399000,ascii,utf-8
8,C:\githealth\dicom-samples\visus.com\case1\case1_024.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=a52589515fd3bc36efe77f29f85bc75b', 'Content-Length': '527920'}","b'--a52589515fd3bc36efe77f29f85bc75b\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:14 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.483""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.181649000,ascii,utf-8
9,C:\githealth\dicom-samples\visus.com\case1\case1_026.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=a7a17f4a8cf8e4af679dca788fa34f87', 'Content-Length': '527920'}","b'--a7a17f4a8cf8e4af679dca788fa34f87\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:14 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.485""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.174918000,ascii,utf-8
10,C:\githealth\dicom-samples\visus.com\case1\case1_028.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=638d5166267c3862603c1bb124c903c1', 'Content-Length': '527920'}","b'--638d5166267c3862603c1bb124c903c1\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:15 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.487""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.175423000,ascii,utf-8
11,C:\githealth\dicom-samples\visus.com\case1\case1_030.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=a0c2d5a5fdafbbd7088c2ebdf8458ccb', 'Content-Length': '527920'}","b'--a0c2d5a5fdafbbd7088c2ebdf8458ccb\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:15 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.489""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.190172000,ascii,utf-8
12,C:\githealth\dicom-samples\visus.com\case1\case1_032.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=3a0fbc7c7883607f00c4b2ee495945dc', 'Content-Length': '527920'}","b'--3a0fbc7c7883607f00c4b2ee495945dc\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:15 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.491""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.185945000,ascii,utf-8
13,C:\githealth\dicom-samples\visus.com\case1\case1_034.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b533ef16f6855e28cfc2dba33cbc5057', 'Content-Length': '527920'}","b'--b533ef16f6855e28cfc2dba33cbc5057\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:15 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.493""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.211055000,ascii,utf-8
14,C:\githealth\dicom-samples\visus.com\case1\case1_036.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=cb83b818928944b1566c7fad4868901c', 'Content-Length': '527920'}","b'--cb83b818928944b1566c7fad4868901c\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '218', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:25:16 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.495""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.202944000,ascii,utf-8
